linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,log_time,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1777986856.513928,1777986856.5135863
0.0,0.0,0.0,0.0,0.0,0.0,1777986856.6139393,1777986856.613686
0.0,0.0,0.0,0.0,0.0,0.0,1777986856.7140062,1777986856.7136269
0.0,0.0,0.0,0.0,0.0,0.0,1777986856.8139348,1777986856.8135698
0.0,0.0,0.0,0.0,0.0,0.0,1777986856.913673,1777986856.9135232
0.0,0.0,0.0,0.0,0.0,0.0,1777986857.0138245,1777986857.0135708
0.0,0.0,0.0,0.0,0.0,0.0,1777986857.1139216,1777986857.1136844
0.0,0.0,0.0,0.0,0.0,0.0,1777986857.2137353,1777986857.213553
0.0,0.0,0.0,0.0,0.0,0.0,1777986857.314088,1777986857.3137584
0.0,0.0,0.0,0.0,0.0,0.0,1777986857.4138691,1777986857.4135618
0.0,0.0,0.0,0.0,0.0,0.0,1777986857.5138319,1777986857.5135448
0.0,0.0,0.0,0.0,0.0,0.0,1777986857.6139488,1777986857.613605
0.0,0.0,0.0,0.0,0.0,0.0,1777986857.7138658,1777986857.7136064
0.0,0.0,0.0,0.0,0.0,0.0,1777986881.8438702,1777986881.8436205
0.0,0.0,0.0,0.0,0.0,0.0,1777986908.3936634,1777986908.3934693
0.0,0.0,0.0,0.0,0.0,0.0,1777986908.4936028,1777986908.493394
0.0,0.0,0.0,0.0,0.0,0.0,1777986908.5939686,1777986908.5936906
0.0,0.0,0.0,0.0,0.0,0.0,1777986908.6939175,1777986908.6936405
0.0,0.0,0.0,0.0,0.0,0.0,1777986908.794122,1777986908.7936678
0.0,0.0,0.0,0.0,0.0,0.0,1777986908.8939676,1777986908.8936288
0.0,0.0,0.0,0.0,0.0,0.0,1777986908.9942446,1777986908.9940438
0.0,0.0,0.0,0.0,0.0,0.0,1777986915.2438252,1777986915.243555
0.0,0.0,0.0,0.0,0.0,0.0,1777986919.9038594,1777986919.903601
0.0,0.0,0.0,0.0,0.0,0.0,1777986920.0038643,1777986920.003554
0.0,0.0,0.0,0.0,0.0,0.0,1777986920.1038804,1777986920.103586
0.0,0.0,0.0,0.0,0.0,0.0,1777986920.2038188,1777986920.203492
0.0,0.0,0.0,0.0,0.0,0.0,1777986920.3039649,1777986920.3036704
0.0,0.0,0.0,0.0,0.0,0.0,1777986940.1939893,1777986940.1937177
0.0,0.0,0.0,0.0,0.0,0.0,1777986960.2740843,1777986960.273771
0.0,0.0,0.0,0.0,0.0,0.0,1777986960.3739753,1777986960.3737092
0.0,0.0,0.0,0.0,0.0,0.0,1777986960.4738572,1777986960.4736128
0.0,0.0,0.0,0.0,0.0,0.0,1777986960.5737922,1777986960.573538
0.0,0.0,0.0,0.0,0.0,0.0,1777986960.674067,1777986960.6737561
0.0,0.0,0.0,0.0,0.0,0.0,1777986960.7740269,1777986960.7737315
0.0,0.0,0.0,0.0,0.0,0.0,1777986960.8739054,1777986960.8735921
0.0,0.0,0.0,0.0,0.0,0.0,1777986960.9738524,1777986960.97359
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.074108,1777986961.0737665
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.173779,1777986961.1735654
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.2738042,1777986961.273525
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.373856,1777986961.3735552
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.4739952,1777986961.4736872
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.5741212,1777986961.5737689
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.673979,1777986961.673632
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.7739103,1777986961.7737217
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.874133,1777986961.8738139
0.0,0.0,0.0,0.0,0.0,0.0,1777986961.9739885,1777986961.973716
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.0739877,1777986962.0737178
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.17392,1777986962.1736317
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.2738557,1777986962.2736208
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.3737817,1777986962.3735478
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.4739368,1777986962.473713
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.5739994,1777986962.5736735
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.673975,1777986962.673632
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.774086,1777986962.7737155
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.8739357,1777986962.8736377
0.0,0.0,0.0,0.0,0.0,0.0,1777986962.973922,1777986962.9736166
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.0740762,1777986963.0737627
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.1738791,1777986963.1735992
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.2740767,1777986963.2737577
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.374395,1777986963.3736937
