desired_linear_vel_x,desired_angular_vel_z,log_time,timestamp
0.22,0.0,1777986696.5690446,1777986696.5687838
0.22,0.0,1777986696.669474,1777986696.6692014
0.22,0.0,1777986696.7700787,1777986696.7697601
0.22,0.0,1777986696.8706107,1777986696.87027
0.22,0.0,1777986696.9710076,1777986696.9707503
0.22,0.0,1777986697.071487,1777986697.0711992
0.22,0.0,1777986697.1719306,1777986697.1716392
0.22,0.0,1777986697.2724147,1777986697.2720764
0.22,0.0,1777986697.3729095,1777986697.3726132
0.22,0.0,1777986697.473409,1777986697.4731002
0.22,0.0,1777986697.5072863,1777986697.507076
0.22,0.0,1777986697.6079533,1777986697.6075628
0.22,0.0,1777986697.7084723,1777986697.7081437
0.22,0.0,1777986697.8089688,1777986697.8086486
0.22,0.0,1777986697.9095166,1777986697.9092307
0.0,0.0,1777986697.9334602,1777986697.933195
0.0,0.0,1777986698.0339136,1777986698.0336132
0.0,0.0,1777986698.1343462,1777986698.134068
0.0,0.0,1777986698.2348213,1777986698.234505
0.0,0.0,1777986698.3352416,1777986698.3349886
-0.005,0.0,1777986698.3720021,1777986698.3717513
-0.01,0.0,1777986698.4724696,1777986698.4721944
-0.01,0.0,1777986698.5730498,1777986698.5727715
-0.01,0.0,1777986698.673576,1777986698.6732686
-0.01,0.0,1777986698.773942,1777986698.773729
-0.015,0.0,1777986698.8730056,1777986698.8727138
-0.02,0.0,1777986698.9031055,1777986698.9027643
-0.025,0.0,1777986698.9330306,1777986698.9327357
-0.030000000000000002,0.0,1777986698.962811,1777986698.9625378
-0.035,0.0,1777986698.9941053,1777986698.9938571
-0.04,0.0,1777986699.0241313,1777986699.0238647
-0.045,0.0,1777986699.0544307,1777986699.054121
-0.049999999999999996,0.0,1777986699.085209,1777986699.0848975
-0.05499999999999999,0.0,1777986699.1155798,1777986699.1153238
-0.05999999999999999,0.0,1777986699.1462703,1777986699.1459439
-0.06499999999999999,0.0,1777986699.1763148,1777986699.1760657
-0.06999999999999999,0.0,1777986699.205511,1777986699.205281
-0.075,0.0,1777986699.2372499,1777986699.2369497
-0.08,0.0,1777986699.2668004,1777986699.2664707
-0.085,0.0,1777986699.2974238,1777986699.2970731
-0.09000000000000001,0.0,1777986699.3275685,1777986699.3272512
-0.09500000000000001,0.0,1777986699.3581643,1777986699.357852
-0.10000000000000002,0.0,1777986699.3880312,1777986699.3876452
-0.10500000000000002,0.0,1777986699.417932,1777986699.4176757
-0.11000000000000003,0.0,1777986699.448892,1777986699.448593
-0.11500000000000003,0.0,1777986699.4780421,1777986699.4778676
-0.12000000000000004,0.0,1777986699.5076618,1777986699.5074244
-0.12500000000000003,0.0,1777986699.537846,1777986699.5375936
-0.13000000000000003,0.0,1777986699.5673175,1777986699.5670755
-0.13500000000000004,0.0,1777986699.5983984,1777986699.5981357
-0.14000000000000004,0.0,1777986699.6283174,1777986699.6280396
-0.14500000000000005,0.0,1777986699.658831,1777986699.6586094
-0.15000000000000005,0.0,1777986699.7592037,1777986699.7590237
-0.15500000000000005,0.0,1777986699.8598168,1777986699.8595116
-0.16000000000000006,0.0,1777986699.9604166,1777986699.9600642
-0.16500000000000006,0.0,1777986700.0609179,1777986700.0606089
-0.17000000000000007,0.0,1777986700.161349,1777986700.1610534
-0.17500000000000007,0.0,1777986700.261915,1777986700.261581
-0.18000000000000008,0.0,1777986700.3624203,1777986700.3621294
-0.18500000000000008,0.0,1777986700.4628034,1777986700.4625442
-0.19000000000000009,0.0,1777986700.5632496,1777986700.5629456
-0.1950000000000001,0.0,1777986700.6636646,1777986700.6633613
-0.2000000000000001,0.0,1777986700.7641768,1777986700.7638457
-0.2050000000000001,0.0,1777986700.864636,1777986700.8643782
-0.2100000000000001,0.0,1777986700.9651222,1777986700.9648755
-0.2150000000000001,0.0,1777986701.065563,1777986701.0653262
-0.22,0.0,1777986701.1660478,1777986701.165847
-0.22,0.0,1777986701.2666068,1777986701.2662756
0.0,0.0,1777986701.3211746,1777986701.3208709
0.0,0.0,1777986701.421696,1777986701.421356
0.0,0.0,1777986701.5221512,1777986701.5218036
0.0,0.0,1777986701.6227412,1777986701.6224296
0.0,0.05,1777986701.6856678,1777986701.6854475
0.0,0.1,1777986701.7859144,1777986701.785755
0.0,0.1,1777986701.8864787,1777986701.8861902
0.0,0.1,1777986701.9869754,1777986701.9867346
0.0,0.15000000000000002,1777986702.0863996,1777986702.0861557
0.0,0.0,1777986702.1007404,1777986702.1004848
0.0,0.0,1777986702.2012146,1777986702.2008765
0.0,0.05,1777986702.2836492,1777986702.2834072
0.0,0.1,1777986702.384228,1777986702.3838935
0.0,0.1,1777986702.4847689,1777986702.4844613
0.0,0.15000000000000002,1777986702.496973,1777986702.4966674
0.0,0.2,1777986702.5974143,1777986702.5971422
0.0,0.25,1777986702.6846669,1777986702.6844068
0.0,0.3,1777986702.785152,1777986702.7848837
0.0,0.30000000000000004,1777986702.8856642,1777986702.885358
0.0,0.35000000000000003,1777986702.887687,1777986702.8874252
0.0,0.4,1777986702.9881804,1777986702.987887
0.0,0.4,1777986703.0885665,1777986703.0883093
0.0,0.45,1777986703.0906918,1777986703.0904045
0.0,0.5,1777986703.1910646,1777986703.1908662
0.0,0.5,1777986703.2918434,1777986703.291481
0.0,0.5,1777986703.392172,1777986703.391979
0.0,0.5,1777986703.4927242,1777986703.4925075
0.0,0.5,1777986703.5933154,1777986703.5930476
0.0,0.5,1777986703.6938527,1777986703.6935537
0.0,0.0,1777986703.7573469,1777986703.7570448
0.0,0.0,1777986703.8579469,1777986703.857568
0.0,0.0,1777986703.9584062,1777986703.9580886
0.0,0.0,1777986704.0589173,1777986704.0586426
0.005,0.0,1777986704.1256764,1777986704.1254046
0.01,0.0,1777986704.2263298,1777986704.225951
