wheel_left_joint_position,wheel_left_joint_velocity,wheel_right_joint_position,wheel_right_joint_velocity,log_time,timestamp
487.982365815,0.16143890664561086,481.249723206,0.16143890664561086,1777986936.81681,1777986936.6986992
487.982365815,0.16064753945617158,481.249723206,0.16064753945617158,1777986936.8168187,1777986936.7063143
488.088210504,0.16064753945617158,481.354033914,0.16064753945617158,1777986936.8222332,1777986936.7199001
488.088210504,0.16143890664561086,481.354033914,0.15748207069841452,1777986936.8266706,1777986936.725536
488.18945325,0.16143890664561086,481.453742679,0.15748207069841452,1777986936.8307095,1777986936.7402189
488.18945325,0.15906480507729306,481.453742679,0.15748207069841452,1777986936.8562052,1777986936.7468257
488.293763958,0.15906480507729306,481.554985425,0.15748207069841452,1777986936.8562155,1777986936.7657852
488.293763958,0.1630216410244894,481.554985425,0.15827343788785378,1777986936.8691869,1777986936.7692604
488.398074666,0.1630216410244894,481.65469419,0.15827343788785378,1777986936.875203,1777986936.784048
488.398074666,0.15985617226673232,481.65469419,0.15669070350897524,1777986936.89548,1777986936.7887425
488.499317412,0.15985617226673232,481.755936936,0.15669070350897524,1777986936.902766,1777986936.8085296
488.499317412,0.15906480507729306,481.755936936,0.15985617226673232,1777986936.9240036,1777986936.8132286
488.60209413900003,0.15906480507729306,481.860247644,0.15985617226673232,1777986936.9240115,1777986936.825639
488.60209413900003,0.16223027383505012,481.860247644,0.15669070350897524,1777986936.95542,1777986936.8303175
488.707938828,0.16223027383505012,481.958422428,0.15669070350897524,1777986936.955431,1777986936.8472252
488.707938828,0.16143890664561086,481.958422428,0.15827343788785378,1777986936.9693573,1777986936.8515723
488.807647593,0.16143890664561086,482.05966517400003,0.15827343788785378,1777986936.9693656,1777986936.8704562
488.807647593,0.15827343788785378,482.05966517400003,0.15669070350897524,1777986936.973834,1777986936.8758929
488.907356358,0.15827343788785378,482.156305977,0.15669070350897524,1777986936.9804683,1777986936.8889923
488.907356358,0.15669070350897524,482.156305977,0.15669070350897524,1777986937.0015984,1777986936.8947299
489.008599104,0.15669070350897524,482.257548723,0.15669070350897524,1777986937.0164897,1777986936.914452
489.10984185,0.15669070350897524,482.357257488,0.15669070350897524,1777986937.0249877,1777986936.9313688
489.10984185,0.15589933631953598,482.357257488,0.15906480507729306,1777986937.0363448,1777986936.9367611
489.206482653,0.15589933631953598,482.458500234,0.15906480507729306,1777986937.0429296,1777986936.951533
489.206482653,0.15431660194065744,482.458500234,0.15906480507729306,1777986937.0604033,1777986936.970586
489.306191418,0.15431660194065744,482.558208999,0.15906480507729306,1777986937.0646021,1777986936.9760408
489.306191418,0.15748207069841452,482.558208999,0.15906480507729306,1777986937.0803723,1777986936.9804482
489.405900183,0.15748207069841452,482.662519707,0.15906480507729306,1777986937.0833223,1777986936.9932299
489.405900183,0.15589933631953598,482.662519707,0.15827343788785378,1777986937.110409,1777986937.013476
489.507142929,0.15589933631953598,482.762228472,0.15827343788785378,1777986937.112641,1777986937.0178466
489.507142929,0.16064753945617158,482.762228472,0.15748207069841452,1777986937.130567,1777986937.0224907
489.612987618,0.16064753945617158,482.861937237,0.15748207069841452,1777986937.130581,1777986937.0364723
489.612987618,0.15669070350897524,482.861937237,0.15669070350897524,1777986937.1458972,1777986937.0426424
489.711162402,0.15669070350897524,482.960112021,0.15669070350897524,1777986937.1572452,1777986937.0595498
489.711162402,0.15985617226673232,482.960112021,0.15906480507729306,1777986937.1645424,1777986937.065037
489.81547311,0.15985617226673232,483.061354767,0.15906480507729306,1777986937.1672297,1777986937.0778446
489.81547311,0.16223027383505012,483.061354767,0.15906480507729306,1777986937.1835918,1777986937.0832987
489.918249837,0.16223027383505012,483.162597513,0.15906480507729306,1777986937.189426,1777986937.099047
489.918249837,0.15748207069841452,483.162597513,0.15906480507729306,1777986937.2304254,1777986937.118326
490.021026564,0.15748207069841452,483.262306278,0.15906480507729306,1777986937.2472632,1777986937.1229951
490.021026564,0.16064753945617158,483.262306278,0.15985617226673232,1777986937.2472699,1777986937.1282039
490.125337272,0.16064753945617158,483.36508300500003,0.15985617226673232,1777986937.2650766,1777986937.1406178
490.125337272,0.15827343788785378,483.36508300500003,0.15827343788785378,1777986937.2748253,1777986937.146429
490.223512056,0.15827343788785378,483.463257789,0.15827343788785378,1777986937.2790864,1777986937.1656327
490.223512056,0.16223027383505012,483.463257789,0.16064753945617158,1777986937.2790976,1777986937.1700644
490.330890726,0.16223027383505012,483.564500535,0.16064753945617158,1777986937.2791078,1777986937.1830251
490.330890726,0.16143890664561086,483.564500535,0.15906480507729306,1777986937.2892158,1777986937.188426
490.43213347200003,0.15827343788785378,483.667277262,0.1551079691300967,1777986937.3119411,1777986937.2082202
